log10_size	Dilumacad	Pinasil	Tres_Marias	Pasi_Gusung_North_nonreserve2	Pasi_Gusung_North_nonreserve3	Pasi_Gusung_North_reserve2	Pasi_Gusung_North_reserve3	Pasi_Gusung_South_reserve1	Pasi_Gusung_South_nonreserve1
-6.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-1.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-1.8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-1.7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-1.6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-1.5	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-1.4	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-1.3	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-1.2	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-1.1	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-1	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.9	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.8	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.7	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.6	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.5	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.4	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.3	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.2	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
-0.1	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.1	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.2	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.3	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.4	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.5	2.467	0.800	0.225	3.775	3.675	3.250	6.250	4.325	3.675
0.6	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
0.7	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
0.8	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
0.9	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
1	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
1.1	0.967	0.800	0.775	1.500	1.275	1.675	2.250	1.400	1.250
1.2	0.967	0.300	0.775	1.500	1.275	1.675	2.250	1.400	1.250
1.3	0.967	0.300	0.775	1.500	1.275	1.675	2.250	1.400	1.250
1.4	0.967	0.600	1.525	1.500	1.275	1.675	2.250	1.400	1.250
1.5	0.300	0.600	0.400	0.525	0.600	0.825	0.675	0.625	0.450
1.6	0.300	0.600	0.400	0.525	0.600	0.825	0.675	0.625	0.450
1.7	0.300	0.850	0.400	0.525	0.600	0.825	0.675	0.625	0.450
1.8	0.300	0.850	0.400	0.525	0.600	0.825	0.675	0.625	0.450
1.9	0.300	0.050	0.400	0.525	0.600	0.825	0.675	0.625	0.450
2	0.000	0.200	0.175	0.125	0.175	0.150	0.325	0.150	0.275
2.1	0.000	0.200	0.175	0.125	0.175	0.150	0.325	0.150	0.275
2.2	0.000	0.200	0.175	0.125	0.175	0.150	0.325	0.150	0.275
2.3	0.000	0.050	0.175	0.125	0.175	0.150	0.325	0.150	0.275
2.4	0.000	0.050	0.075	0.000	0.150	0.125	0.075	0.050	0.100
2.5	0.000	0.250	0.075	0.000	0.150	0.125	0.075	0.050	0.100
2.6	0.000	0.250	0.075	0.000	0.150	0.125	0.075	0.050	0.100
2.7	0.000	0.250	0.075	0.000	0.050	0.075	0.125	0.000	0.000
2.8	0.000	0.000	0.075	0.000	0.050	0.075	0.125	0.000	0.000
2.9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025
3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025
3.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.5	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
3.6	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
3.7	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
3.8	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
3.9	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4.1	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4.2	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4.3	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4.4	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
4.5	0.000	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.025
